Date, Open, High, Low, Close, Volume
11/05/24, 47.86, 51.575, 46.86, 51.13, 208868188
11/04/24, 41.08, 42.04, 41.0315, 41.41, 75413297
11/01/24, 41.93, 42.57, 41.59, 41.92, 33722520
10/31/24, 42.79, 43.32, 40.90, 41.56, 50973359
10/30/24, 44.58, 44.80, 43.61, 43.69, 31309230
10/29/24, 44.90, 45.07, 44.04, 44.93, 26154711
10/28/24, 45.05, 45.14, 44.68, 44.97, 36729699
10/25/24, 43.85, 45.07, 43.645, 44.86, 50416488
10/24/24, 42.89, 43.73, 42.66, 43.56, 34079559
10/23/24, 42.85, 43.68, 42.055, 42.59, 35646980
10/22/24, 42.69, 43.49, 42.30, 42.94, 27830730
10/21/24, 42.86, 43.40, 42.41, 42.70, 30719779
10/18/24, 42.015, 42.99, 41.65, 42.97, 33969020
10/17/24, 42.15, 42.70, 41.61, 42.00, 34028406
10/16/24, 42.40, 42.49, 40.36, 41.93, 59157941
10/15/24, 43.475, 43.68, 41.515, 42.43, 48296969
10/14/24, 43.72, 44.39, 43.28, 43.40, 41010910
10/11/24, 43.40, 44.38, 42.62, 43.51, 66206891
10/10/24, 42.92, 43.8784, 42.4101, 43.52, 62516312
10/09/24, 41.55, 43.34, 41.21, 43.13, 86404703
10/08/24, 39.29, 41.49, 39.015, 41.45, 62542953
10/07/24, 39.90, 40.15, 38.775, 38.89, 44124770
10/04/24, 39.65, 40.29, 39.40, 40.01, 62657551
10/03/24, 37.45, 39.29, 37.37, 39.24, 57196449
10/02/24, 36.30, 37.68, 36.145, 37.49, 34988910
10/01/24, 37.21, 37.56, 36.05, 36.46, 52858039
09/30/24, 36.58, 37.32, 36.15, 37.20, 42223551
09/27/24, 36.91, 37.47, 36.59, 36.84, 43219121
09/26/24, 37.26, 37.44, 36.60, 37.10, 48601992
09/25/24, 36.89, 37.18, 36.3827, 37.12, 46511719
09/24/24, 37.97, 37.98, 36.43, 36.90, 79519250
09/23/24, 36.86, 38.19, 36.57, 37.95, 79460734
09/20/24, 36.01, 37.29, 35.71, 37.20, 450290500
09/19/24, 37.00, 37.35, 36.20, 36.83, 59882039
09/18/24, 35.90, 37.11, 35.8712, 36.38, 66279766
09/17/24, 37.00, 37.05, 35.87, 36.45, 64461754
09/16/24, 35.78, 36.92, 35.56, 36.31, 74767328
09/13/24, 34.97, 36.01, 34.89, 35.59, 49727168
09/12/24, 34.86, 35.40, 34.5308, 34.91, 54391840
09/11/24, 34.01, 34.87, 33.62, 34.85, 68302250
09/10/24, 34.81, 35.20, 33.71, 34.76, 91720992
09/09/24, 32.70, 34.70, 32.47, 34.60, 140582500
09/06/24, 30.60, 31.04, 29.50, 30.33, 50946781
09/05/24, 30.24, 30.74, 30.01, 30.16, 24012330
09/04/24, 30.00, 30.85, 29.31, 30.59, 33419488
09/03/24, 31.35, 31.5892, 30.165, 30.51, 34489900
08/30/24, 31.05, 31.50, 30.70, 31.48, 42388020
08/29/24, 30.65, 31.82, 30.484, 31.00, 39732992
08/28/24, 30.62, 30.80, 29.75, 30.36, 33961367
08/27/24, 30.55, 31.12, 30.38, 30.84, 23541260
08/26/24, 31.43, 31.74, 30.79, 30.85, 35283633
08/23/24, 31.99, 32.55, 31.622, 31.78, 34121180
08/22/24, 32.55, 33.125, 31.85, 31.92, 43522219
08/21/24, 32.32, 32.67, 31.97, 32.54, 38147559
08/20/24, 32.50, 32.72, 31.63, 32.32, 40783008
08/19/24, 32.42, 32.59, 31.814, 32.50, 52353641
08/16/24, 31.04, 32.75, 30.98, 32.08, 64870641
08/15/24, 31.31, 31.495, 30.83, 31.22, 43407609
08/14/24, 30.62, 31.37, 30.33, 31.00, 49885641
08/13/24, 29.7887, 30.8498, 29.56, 30.39, 57294207
08/12/24, 30.22, 31.20, 29.27, 29.38, 67890320
08/09/24, 29.28, 30.36, 29.10, 30.01, 88131109
08/08/24, 27.04, 29.375, 26.69, 29.28, 96892922
08/07/24, 27.07, 28.36, 26.24, 26.32, 75975375
08/06/24, 27.05, 27.42, 25.57, 26.59, 99622680
08/05/24, 21.74, 24.42, 21.23, 24.09, 88023469
08/02/24, 24.75, 24.87, 23.75, 24.74, 56092594
08/01/24, 27.02, 27.535, 25.83, 26.08, 31189609
07/31/24, 27.02, 27.39, 26.88, 26.89, 29111609
07/30/24, 27.25, 27.44, 25.89, 26.37, 31819910
07/29/24, 27.56, 27.80, 26.73, 27.08, 26038840
07/26/24, 27.00, 27.34, 26.77, 27.18, 27432221
07/25/24, 26.04, 27.288, 25.42, 26.63, 45474609
07/24/24, 28.44, 28.685, 26.58, 26.60, 49004113
07/23/24, 28.34, 29.19, 28.31, 28.81, 31134260
07/22/24, 28.93, 28.97, 27.69, 28.46, 38037809
07/19/24, 28.31, 29.60, 28.27, 28.58, 49581641
07/18/24, 28.42, 29.83, 28.15, 28.64, 76485562
07/17/24, 28.00, 28.87, 27.60, 28.22, 45203461
